
========> The following is the setup for this run:

2021_7_29_16_3_54_data_fashionmnist_arch_conv6_init_kaimingn_GPUs_1_minib_60_opt_Adam_lr_0.0003_lrpolicy_constant_lr_ep_1

arch: conv6
pretrained: False
resume: 
dataname: fashionmnist
datapath: ./data/fashionmnist/
workers: 20
batch_size: 60
init_policy: kaimingn
init_kaiming_mode: fan_in
init_kaiming_nonlinearity: relu
init_bias: zero
optimizer: Adam
epochs: 1
initial_epoch: 0
label_smoothing: 0.0
weight_decay: 0.0
lr: 0.0003
lr_policy: constant_lr
warmup_length: 0
lr_gamma: 0.0
lr_steps: None
lowest_lr: 0.0001
scale_coslr: 1
exp_coslr: 1
normal_exp_scale: 1500
momentum: 0.0
nesterov: False
evaluate: False
print_freq_tr: 10
print_freq_ts: 10
config: fashionmnist_conv6_train
logterminal: True
save_stages: False
gpu_idx: ['0']
local_rank: 0
channels_last: False
lr_step: 0
distributed: False
world_size: 1

=> Global rank of the current node is 0 and the process id is 41293.
=> There are 1 process(es) runing on GPU(s).
=> Visible GPU(s) are ['0'] for running 1 process(es).
=> Execute `nvidia-smi` on a differnt terminal to see used GPUs.
=> GPU 0 whose id is 0 is being used for training of the current process.

=> The model, i.e., conv6, is being replicated on 1 processes.

Learning rate: 0.00030000 | Curr loss: 0.2894 | Avg loss: 0.5152 | Prec@1(avg) 81.70 % | Prec@5(avg) 98.93 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 620/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2070
Learning rate: 0.00030000 | Curr loss: 0.2736 | Avg loss: 0.5126 | Prec@1(avg) 81.78 % | Prec@5(avg) 98.94 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 630/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2074
Learning rate: 0.00030000 | Curr loss: 0.2295 | Avg loss: 0.5106 | Prec@1(avg) 81.86 % | Prec@5(avg) 98.95 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 640/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2083
Learning rate: 0.00030000 | Curr loss: 0.4221 | Avg loss: 0.5082 | Prec@1(avg) 81.96 % | Prec@5(avg) 98.95 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 650/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2083
Learning rate: 0.00030000 | Curr loss: 0.3190 | Avg loss: 0.5047 | Prec@1(avg) 82.08 % | Prec@5(avg) 98.97 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 660/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2092
Learning rate: 0.00030000 | Curr loss: 0.3697 | Avg loss: 0.5026 | Prec@1(avg) 82.14 % | Prec@5(avg) 98.98 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 670/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2102
Learning rate: 0.00030000 | Curr loss: 0.3753 | Avg loss: 0.5004 | Prec@1(avg) 82.22 % | Prec@5(avg) 98.99 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 680/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2107
Learning rate: 0.00030000 | Curr loss: 0.2914 | Avg loss: 0.4983 | Prec@1(avg) 82.29 % | Prec@5(avg) 99.00 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 690/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2096
Learning rate: 0.00030000 | Curr loss: 0.3405 | Avg loss: 0.4955 | Prec@1(avg) 82.39 % | Prec@5(avg) 99.01 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 700/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2098
Learning rate: 0.00030000 | Curr loss: 0.2134 | Avg loss: 0.4923 | Prec@1(avg) 82.50 % | Prec@5(avg) 99.02 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 710/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2098
Learning rate: 0.00030000 | Curr loss: 0.4925 | Avg loss: 0.4901 | Prec@1(avg) 82.59 % | Prec@5(avg) 99.03 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 720/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2105
Learning rate: 0.00030000 | Curr loss: 0.4025 | Avg loss: 0.4884 | Prec@1(avg) 82.66 % | Prec@5(avg) 99.04 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 730/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2075
Learning rate: 0.00030000 | Curr loss: 0.4697 | Avg loss: 0.4863 | Prec@1(avg) 82.72 % | Prec@5(avg) 99.05 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 740/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2066
Learning rate: 0.00030000 | Curr loss: 0.2505 | Avg loss: 0.4841 | Prec@1(avg) 82.79 % | Prec@5(avg) 99.06 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 750/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2068
Learning rate: 0.00030000 | Curr loss: 0.2076 | Avg loss: 0.4812 | Prec@1(avg) 82.89 % | Prec@5(avg) 99.07 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 760/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2069
Learning rate: 0.00030000 | Curr loss: 0.3498 | Avg loss: 0.4800 | Prec@1(avg) 82.91 % | Prec@5(avg) 99.08 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 770/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2076
Learning rate: 0.00030000 | Curr loss: 0.2727 | Avg loss: 0.4777 | Prec@1(avg) 82.98 % | Prec@5(avg) 99.09 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 780/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2084
Learning rate: 0.00030000 | Curr loss: 0.6062 | Avg loss: 0.4754 | Prec@1(avg) 83.05 % | Prec@5(avg) 99.10 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 790/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2083
Learning rate: 0.00030000 | Curr loss: 0.4638 | Avg loss: 0.4732 | Prec@1(avg) 83.11 % | Prec@5(avg) 99.11 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 800/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2087
Learning rate: 0.00030000 | Curr loss: 0.2688 | Avg loss: 0.4724 | Prec@1(avg) 83.13 % | Prec@5(avg) 99.12 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 810/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2060
Learning rate: 0.00030000 | Curr loss: 0.3859 | Avg loss: 0.4707 | Prec@1(avg) 83.19 % | Prec@5(avg) 99.12 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 820/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2045
Learning rate: 0.00030000 | Curr loss: 0.3454 | Avg loss: 0.4691 | Prec@1(avg) 83.25 % | Prec@5(avg) 99.13 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 830/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2034
